text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
fack,fuck,sexual anatomy / sexual acts,1.4,Mild,fack
clusterfucker,fuck,sexual anatomy / sexual acts,2.4,Strong,clusterfucker
mofucker,motherfucker,other / general insult,2.0,Strong,mofucker
sl@nteye,slant eye,racial / ethnic slurs,3.0,Severe,sl@nteye
d1cks,dick,sexual anatomy / sexual acts,1.4,Mild,d1cks
knobd,knob,sexual anatomy / sexual acts,1.2,Mild,knobd
towelshithead,towelhead,racial / ethnic slurs,2.6,Severe,towelshithead
sambo,sambo,racial / ethnic slurs,2.2,Strong,sambo
assfuckerz,fuck,sexual anatomy / sexual acts,2.4,Strong,assfuckerz
muffindivin,muff,sexual anatomy / sexual acts,1.8,Strong,muffindivin
nympho,nymph,sexual anatomy / sexual acts,1.0,Mild,nympho
man meat,meat,sexual anatomy / sexual acts,1.2,Mild,manmeat
pedophl,pedophile,sexual anatomy / sexual acts,2.2,Strong,pedophl
dlcks,dick,sexual anatomy / sexual acts,1.0,Mild,dlcks
window licker,window licker,mental disability,1.8,Strong,windowlicker
motherfuckingshit,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuckingshit
fkker,fuck,sexual anatomy / sexual acts,2.2,Strong,fkker
g0ddamn,damn,religious offense,1.2,Mild,g0ddamn
muthafeckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafeckers
shit,shit,bodily fluids / excrement,1.2,Mild,shit
clusterfucking,fuck,sexual anatomy / sexual acts,2.0,Strong,clusterfucking
n1gg3r,nigger,racial / ethnic slurs,3.0,Severe,n1gg3r
fvckin,fuck,sexual anatomy / sexual acts,1.8,Strong,fvckin
shitfvck,shit,sexual anatomy / sexual acts,2.2,Strong,shitfvck
j3rk,jerk,other / general insult,1.0,Mild,j3rk
slanteyeshit,shit,bodily fluids / excrement,3.0,Severe,slanteyeshit
ass fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,assfucker
cock licker,cock,sexual anatomy / sexual acts,2.0,Strong,cocklicker
slantard,retard,racial / ethnic slurs,2.8,Severe,slantard
butthole,butt,sexual anatomy / sexual acts,1.2,Mild,butthole
futhamucka,motherfucker,sexual anatomy / sexual acts,2.6,Severe,futhamucka
fuck face,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckface
d!ck,dick,sexual anatomy / sexual acts,1.0,Mild,d!ck
wang wrangler,wang,sexual anatomy / sexual acts,2.0,Strong,wangwrangler
ass fecker,fuck,sexual anatomy / sexual acts,2.6,Severe,assfecker
nob jokeys,knob,sexual anatomy / sexual acts,1.8,Strong,nobjokeys
n1gguh,nigger,racial / ethnic slurs,2.8,Severe,n1gguh
kid diddler,diddle,sexual anatomy / sexual acts,3.0,Severe,kiddiddler
ladyb0y,ladyboy,sexual orientation / gender,2.4,Strong,ladyb0y
phags,faggot,sexual orientation / gender,3.0,Severe,phags
fuck goblin,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckgoblin
baby batter,baby batter,bodily fluids / excrement,1.4,Mild,babybatter
cock,cock,sexual anatomy / sexual acts,1.4,Mild,cock
nikk3r,nigger,racial / ethnic slurs,3.0,Severe,nikk3r
jerks off,jerk off,sexual anatomy / sexual acts,1.4,Mild,jerks
fukkings,fuck,sexual anatomy / sexual acts,2.0,Strong,fukkings
motherfucked,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucked
bugger,bugger,sexual anatomy / sexual acts,1.2,Mild,bugger
spics,spic,racial / ethnic slurs,2.8,Severe,spics
beyoch,bitch,sexual orientation / gender,1.2,Mild,beyoch
bell end,bellend,mental disability,1.0,Mild,bellend
pissoffs,piss,bodily fluids / excrement,1.4,Mild,pissoffs
dog fuck,fuck,sexual anatomy / sexual acts,2.8,Severe,dogfuck
dog shit,shit,bodily fluids / excrement,1.2,Mild,dogshit
jerkoff,jerk off,sexual anatomy / sexual acts,1.6,Strong,jerkoff
anus,anus,sexual anatomy / sexual acts,1.0,Mild,anus
palm jockey,palm jockey,sexual anatomy / sexual acts,1.2,Mild,palmjockey
phukk,fuck,sexual anatomy / sexual acts,1.8,Strong,phukk
pussylickers,pussy,sexual anatomy / sexual acts,2.8,Severe,pussylickers
mudderfukker,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mudderfukker
fagging,faggot,sexual orientation / gender,3.0,Severe,fagging
motherfxck,motherfucker,other / general insult,2.4,Strong,motherfxck
beat off,beat off,sexual anatomy / sexual acts,1.2,Mild,beat
dipshat,shit,bodily fluids / excrement,1.2,Mild,dipshat
bull shit,shit,bodily fluids / excrement,1.0,Mild,bullshit
0rgasms,orgasm,sexual anatomy / sexual acts,1.0,Mild,0rgasms
nickas,nigger,racial / ethnic slurs,2.8,Severe,nickas
assholes,ass,sexual anatomy / sexual acts,1.6,Strong,assholes
knobjocky,knob,sexual anatomy / sexual acts,2.2,Strong,knobjocky
bitchez,bitch,sexual orientation / gender,1.4,Mild,bitchez
asshat,ass,sexual anatomy / sexual acts,1.2,Mild,asshat
anal hore,anal,sexual anatomy / sexual acts,2.4,Strong,analhore
knob-face,knob,sexual anatomy / sexual acts,1.6,Strong,knob-face
bassturd,bastard,other / general insult,1.2,Mild,bassturd
wank3rs,wank,sexual anatomy / sexual acts,1.0,Mild,wank3rs
arsehole,arse,sexual anatomy / sexual acts,1.4,Mild,arsehole
fcking,fuck,sexual anatomy / sexual acts,2.2,Strong,fcking
fag hag,faggot,sexual orientation / gender,2.6,Severe,faghag
blow job,blowjob,sexual anatomy / sexual acts,2.0,Strong,blowjob
n1gga,nigger,racial / ethnic slurs,2.4,Strong,n1gga
motherfukka,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfukka
dikhead,dick,sexual anatomy / sexual acts,1.6,Strong,dikhead
fckahz,fuck,sexual anatomy / sexual acts,2.2,Strong,fckahz
jackoffs,jack off,sexual anatomy / sexual acts,1.2,Mild,jackoffs
dickfucker,dick,sexual anatomy / sexual acts,2.8,Severe,dickfucker
salad tosser,salad tosser,sexual anatomy / sexual acts,2.0,Strong,saladtosser
wigger,nigger,racial / ethnic slurs,2.6,Severe,wigger
knobend,knob,sexual anatomy / sexual acts,1.2,Mild,knobend
faggot nob jokeys,faggot,sexual anatomy / sexual acts,3.0,Severe,faggotnobjokeys
fuckfaces,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckfaces
mofoes,motherfucker,other / general insult,2.0,Strong,mofoes
sons of bitches,bitch,other / general insult,1.6,Strong,sonsbitches
fackuhs,fuck,sexual anatomy / sexual acts,2.0,Strong,fackuhs
vulva,vulva,sexual anatomy / sexual acts,1.0,Mild,vulva
d!ldo,dildo,sexual anatomy / sexual acts,1.4,Mild,d!ldo
cooties,cooties,other / general insult,1.0,Mild,cooties
fukker,fuck,sexual anatomy / sexual acts,2.0,Strong,fukker
girlyboy,girlyboy,sexual orientation / gender,1.4,Mild,girlyboy
shit-bandit,shit,bodily fluids / excrement,1.6,Strong,shit-bandit
